feature,lag_weeks,pearson_r,spearman_rho
surface_pressure_hpa_mean,9,-0.2260203566433822,-0.36873981606127604
surface_pressure_hpa_mean,10,-0.23069636706076813,-0.3659523517022814
surface_pressure_hpa_mean,11,-0.22544483051039582,-0.35938409763034346
surface_pressure_hpa_mean,12,-0.20909279050892615,-0.34081603305648
ndvi_mean_weekly,0,-0.08529281825786081,-0.1043424260284927
ndvi_mean_weekly,1,-0.04676191409963917,-0.0820180242972614
ndvi_mean_weekly,2,-0.013186154440917825,-0.0634849021181926
ndvi_mean_weekly,3,0.004676882715997101,-0.05296787930665427
ndvi_mean_weekly,4,0.029965676290733143,-0.03212667707921505
ndvi_mean_weekly,5,0.027015652777915636,-0.012240211909675763
ndvi_mean_weekly,6,0.03068595140360531,0.009647149854118882
ndvi_mean_weekly,7,0.026916336048821626,0.036481361980105695
ndvi_mean_weekly,8,0.014521720477738618,0.06817903614335108
ndvi_mean_weekly,9,0.01920582013779561,0.10015214359247063
ndvi_mean_weekly,10,0.027651611362463885,0.12673253311926702
ndvi_mean_weekly,11,0.029386579187237968,0.13908456784762466
ndvi_mean_weekly,12,0.036805186469815114,0.15626036017636594
